dose_mpk,output,measurement,measurement_unit,time,ID,time_unit,exponential_error,dose_route
3.0,free_drug_p,30.16700392974144,nM,2.333333333333333,0,d,0.1,Dose_SC
3.0,free_drug_c,93.6502029508334,nM,2.333333333333333,0,d,0.1,Dose_SC
3.0,free_drug_p,29.71259401695053,nM,4.666666666666667,0,d,0.1,Dose_SC
3.0,free_drug_c,78.96804493697456,nM,4.666666666666667,0,d,0.1,Dose_SC
3.0,free_drug_p,24.39828367631224,nM,7.0,0,d,0.1,Dose_SC
3.0,free_drug_c,66.49574212568152,nM,7.0,0,d,0.1,Dose_SC
3.0,free_drug_p,49.2367752146338,nM,9.333333333333334,0,d,0.1,Dose_SC
3.0,free_drug_c,171.99588438112713,nM,9.333333333333334,0,d,0.1,Dose_SC
3.0,free_drug_p,47.388066595244645,nM,11.666666666666668,0,d,0.1,Dose_SC
3.0,free_drug_c,130.26658970332565,nM,11.666666666666668,0,d,0.1,Dose_SC
3.0,free_drug_p,40.870321397061375,nM,14.0,0,d,0.1,Dose_SC
3.0,free_drug_c,110.02078529016872,nM,14.0,0,d,0.1,Dose_SC
3.0,free_drug_p,70.63607129107368,nM,16.333333333333336,0,d,0.1,Dose_SC
3.0,free_drug_c,183.50891736920468,nM,16.333333333333336,0,d,0.1,Dose_SC
3.0,free_drug_p,68.29740616013927,nM,18.666666666666668,0,d,0.1,Dose_SC
3.0,free_drug_c,160.20559024700805,nM,18.666666666666668,0,d,0.1,Dose_SC
3.0,free_drug_p,53.96002001498793,nM,21.0,0,d,0.1,Dose_SC
3.0,free_drug_c,150.4999371465478,nM,21.0,0,d,0.1,Dose_SC
3.0,free_drug_p,82.02920758698089,nM,23.333333333333336,0,d,0.1,Dose_SC
3.0,free_drug_c,236.18767438527087,nM,23.333333333333336,0,d,0.1,Dose_SC
3.0,free_drug_p,73.41899053836065,nM,25.666666666666668,0,d,0.1,Dose_SC
3.0,free_drug_c,204.08786680406988,nM,25.666666666666668,0,d,0.1,Dose_SC
3.0,free_drug_p,63.83289686201893,nM,28.0,0,d,0.1,Dose_SC
3.0,free_drug_c,139.74406385771496,nM,28.0,0,d,0.1,Dose_SC
3.0,free_drug_p,91.79227838348471,nM,30.333333333333336,0,d,0.1,Dose_SC
3.0,free_drug_c,255.87675826089145,nM,30.333333333333336,0,d,0.1,Dose_SC
3.0,free_drug_p,81.0850619335338,nM,32.66666666666667,0,d,0.1,Dose_SC
